1,said.
0,"really, aggressive, blast, obnoxious, entertainment, guests, faces, little, recourse"
0,"really, big, bad, thing"
0,"seriously, would, pay, $30, flight, seats, didnt, playing., really, bad, thing, flying"
2,"amazing,, arrived, hour, early., youre, good, me."
2,"pretty, graphics., much, better, minimal, iconography."
2,"great, deal, already, thinking, 2nd, trip, havent, even, gone, 1st, trip, yet"
2,thanks
2,"excited, first, cross, country, flight, lax, mco, ive, heard, nothing, great, things, virgin, america., 29daystogo"
0,"flew, nyc, sfo, last, week, couldnt, fully, sit, seat, due, two, large, gentleman, either, side, me., help"
2,"flying, "
2,"know, would, amazingly, awesome?, bos-fll, please, want, fly, you."
2,"love, graphic."
2,"love, hipster, innovation., feel, good, brand."
1,"making, bos&gt;las, non, stop, permanently, anytime, soon?"
0,"guys, messed, seating.., reserved, seating, friends, guys, gave, seat, away, ..., want, free, internet"
0,"status, match, program., applied, three, weeks., called, emailed, response."
0,"happened, vegan, food, options?, least, say, site, know, wont, able, eat, anything, next, hrs, fail"
0,"amazing, cant, get, cold, air, vents., vx358, noair, worstflightever, roasted, sfotobos"
0,"bked, cool, birthday, trip, you,, cant, add, elevate, no., cause, entered, middle, name, flight, booking, problems"
1,"hours, operation, club, sfo, posted, online, current?"
0,"help,, left, expensive, headphones, flight, iad, lax, today., seat, 2a., one, answering, number, lax"
0,"awaiting, return, phone, call,, would, prefer, use, online, self-service, option"
2,"great, news, america, could, start, flights, hawaii, end, year, via"
2,"moodlighting, way, fly, best, experience, ever, cool, calming., moodlitmonday"
2,"done, done, best, airline, around,, hands"
0,"chat, support, working, site:"
1,"plz, help, win, bid, upgrade, flight, 2/27, lax---&gt;sea, "
1,"flights, leaving, dallas, seattle, time, feb, 24?"
2,"elevategold, good, reason:, rock"
2,"wow, blew, mind"
1,"last, night, tribute, soundofmusic, oscars2015, think, agree"
1,"wish, flew, atlanta..., soon?"
1,"flights, leaving, dallas, february, 24th?"
2,"know, it., need, spotify, stat, guiltypleasures"
1,"new, marketing, song?, let, know, think?"
1,"julie, andrews, first, lady, gaga, wowd, last, night., carrie?, meh."
0,"called, 3-4, weeks, ago, adding, flights, 2014, elevate...they, still, havent, shown, up...help"
1,"sorry,, mary, martin, first"
2,"love, three, really, cant, beat, classics"
0,"heyyyy, guyyyys.., trying, get, hour., someone, call, please?"
0,"hi,, virgin, hold, 40-50, minutes, earlier, flights, nyc, tonight;, earlier, 11:50pm?"
0,"everything, fine, lost, bag"
1,"need, change, reservation., virgin, credit, card., need, modify, phone, waive, change, fee?, online?"
1,"booked, flight, need, add, baggage,, this?"
0,"airline, awesome, lax, loft, needs, step, game., $40, dirty, tables, floors?"
2,"worried,, great, ride, new, plane, great, crew., airlines, like, this."
2,"awesome., flew, yall, sat, morning., way, correct, bill"
1,"watch, best, student, films, country, 35,000, feet, cmfat35000feet"
1,"first, time, flying, all., different, rate/policy, media, bags?, thanks"
0,"going, customer, service?, anyway, speak, human, asap?, thank, you."
1,"happened, doom?"
0,"cant, supp, biz, traveler, like, customer, service, like, neverflyvirginforbusiness"
2,"ive, applied, member, inflight, crew, team...im, 100%, interested., flightattendant, dreampath"
0,"interesting, flying, this., cancelled, flight, next, four, flights, planned.neverflyvirginforbusiness"
0,"disappointing, experience, shared, every, business, traveler, meet., neverflyvirgin"
0,"im, trouble, adding, flight, wife, booked, elevate, account., help?"
1,"random, whats, distribution, elevate, avatars?, bet, kitty, disproportionate, share"
0,"site, down?, back, up?"
1,"rnp?, yeah, know"
0,"like, interesting, video, disappointed, cancelled, flightled, flight, flights, went, jfk, saturday"
0,"landed, lax,, hour, here., late, flight, bag, check, business, travel, friendly, nomorevirgin"
